stimulus_presentation_id,unit_id,spatial_frequency,temporal_frequency,spikes_per_second
3798,951088664,0.04,15.0,12.489571208042056
3798,951088679,0.04,15.0,11.989988359720375
3798,951088721,0.04,15.0,12.489571208042056
3798,951088823,0.04,15.0,0.9991656966433645
3798,951088862,0.04,15.0,38.96746216909122
3798,951088891,0.04,15.0,0.9991656966433645
3798,951088939,0.04,15.0,12.98915405636374
3798,951088948,0.04,15.0,66.94410167510543
3798,951088957,0.04,15.0,2.9974970899300937
3798,951088968,0.04,15.0,48.959119135524865
3798,951089004,0.04,15.0,11.490405511398693
3798,951089020,0.04,15.0,64.9457702818187
3798,951089071,0.04,15.0,0.9991656966433645
3798,951089083,0.04,15.0,26.47789096104916
3798,951089095,0.04,15.0,3.497079938251776
3798,951089130,0.04,15.0,25.97830811272748
3798,951089164,0.04,15.0,33.472050837552715
3798,951089174,0.04,15.0,22.980811022797386
3798,951089184,0.04,15.0,0.9991656966433645
3798,951089195,0.04,15.0,84.4295013663643
3798,951089339,0.04,15.0,6.994159876503552
3798,951089429,0.04,15.0,34.97079938251776
3798,951089459,0.04,15.0,0.49958284832168226
3798,951089488,0.04,15.0,81.43200427643421
3798,951089538,0.04,15.0,70.94076446167888
3798,951089592,0.04,15.0,5.495411331538505
3798,951089704,0.04,15.0,8.99249126979028
3798,951089925,0.04,15.0,1.998331393286729
3798,951090214,0.04,15.0,24.479559567762433
3798,951090343,0.04,15.0,2.4979142416084112
3798,951090551,0.04,15.0,9.492074118111963
3798,951090679,0.04,15.0,6.49457702818187
3798,951090729,0.04,15.0,5.495411331538505
3798,951090804,0.04,15.0,1.4987485449650468
3798,951090856,0.04,15.0,1.4987485449650468
3798,951090924,0.04,15.0,2.4979142416084112
3798,951090982,0.04,15.0,4.49624563489514
3798,951091025,0.04,15.0,2.9974970899300937
3798,951091188,0.04,15.0,17.98498253958056
3798,951091287,0.04,15.0,3.996662786573458
3798,951091304,0.04,15.0,14.987485449650467
3798,951091412,0.04,15.0,2.9974970899300937
3798,951091444,0.04,15.0,10.99082266307701
3798,951091492,0.04,15.0,8.492908421468599
3798,951091758,0.04,15.0,6.994159876503552
3798,951091785,0.04,15.0,19.48373108454561
3798,951091890,0.04,15.0,2.9974970899300937
3798,951091914,0.04,15.0,3.996662786573458
3798,951092050,0.04,15.0,22.980811022797386
3798,951092075,0.04,15.0,9.991656966433645
3798,951092303,0.04,15.0,18.484565387902244
3798,951092369,0.04,15.0,7.493742724825234
3798,951092437,0.04,15.0,30.9741365959443
3798,951092450,0.04,15.0,30.9741365959443
3798,951092475,0.04,15.0,5.495411331538505
3798,951092488,0.04,15.0,19.48373108454561
3798,951092567,0.04,15.0,2.9974970899300937
3798,951092594,0.04,15.0,28.975805202657572
3798,951092617,0.04,15.0,6.994159876503552
3798,951092673,0.04,15.0,14.987485449650467
3798,951092695,0.04,15.0,0.9991656966433645
3798,951092707,0.04,15.0,3.996662786573458
3798,951092798,0.04,15.0,10.491239814755328
3798,951092890,0.04,15.0,16.985816842937197
3798,951092924,0.04,15.0,27.477056657692525
3798,951092940,0.04,15.0,48.959119135524865
3798,951092949,0.04,15.0,21.482062477832336
3798,951092961,0.04,15.0,9.991656966433645
3798,951092973,0.04,15.0,23.97997671944075
3798,951092983,0.04,15.0,6.994159876503552
3798,951093020,0.04,15.0,0.9991656966433645
3798,951093034,0.04,15.0,2.9974970899300937
3798,951093048,0.04,15.0,9.991656966433645
3798,951093069,0.04,15.0,12.489571208042056
3798,951093080,0.04,15.0,56.4528618603501
3798,951093125,0.04,15.0,7.493742724825234
3798,951093223,0.04,15.0,6.994159876503552
3798,951093283,0.04,15.0,29.974970899300935
3798,951093302,0.04,15.0,3.497079938251776
3798,951093416,0.04,15.0,4.49624563489514
3798,951093484,0.04,15.0,2.4979142416084112
3798,951093525,0.04,15.0,2.4979142416084112
3798,951093565,0.04,15.0,30.47455374762262
3798,951093595,0.04,15.0,6.994159876503552
3798,951093608,0.04,15.0,51.95661622545496
3798,951093662,0.04,15.0,1.4987485449650468
3798,951093688,0.04,15.0,11.989988359720375
3798,951093712,0.04,15.0,7.993325573146916
3798,951093725,0.04,15.0,15.986651146293832
3798,951093762,0.04,15.0,5.994994179860187
3798,951093795,0.04,15.0,12.489571208042056
3798,951093810,0.04,15.0,0.9991656966433645
3798,951093821,0.04,15.0,18.484565387902244
3798,951093846,0.04,15.0,29.475388050979255
3798,951093858,0.04,15.0,0.9991656966433645
3798,951093892,0.04,15.0,0.9991656966433645
3798,951093928,0.04,15.0,1.4987485449650468
3798,951094009,0.04,15.0,26.977473809370842
3798,951094036,0.04,15.0,9.991656966433645
3798,951094050,0.04,15.0,2.9974970899300937
3798,951094081,0.04,15.0,24.979142416084112
3798,951094300,0.04,15.0,0.9991656966433645
3798,951094440,0.04,15.0,1.4987485449650468
3798,951094467,0.04,15.0,0.9991656966433645
3798,951094516,0.04,15.0,6.49457702818187
3798,951094587,0.04,15.0,1.4987485449650468
3798,951094603,0.04,15.0,0.49958284832168226
3798,951094616,0.04,15.0,6.49457702818187
3798,951094629,0.04,15.0,0.49958284832168226
3798,951094654,0.04,15.0,5.495411331538505
3798,951094709,0.04,15.0,0.49958284832168226
3798,951094783,0.04,15.0,1.998331393286729
3798,951094932,0.04,15.0,8.99249126979028
3798,951094944,0.04,15.0,18.984148236223927
3798,951094979,0.04,15.0,11.490405511398693
3798,951095014,0.04,15.0,13.988319753007104
3798,951095040,0.04,15.0,0.49958284832168226
3798,951095054,0.04,15.0,28.47622235433589
3798,951095069,0.04,15.0,0.49958284832168226
3798,951095097,0.04,15.0,3.996662786573458
3798,951095256,0.04,15.0,3.996662786573458
3798,951095315,0.04,15.0,0.9991656966433645
3798,951095328,0.04,15.0,8.99249126979028
3798,951095360,0.04,15.0,14.987485449650467
3798,951095385,0.04,15.0,7.493742724825234
3798,951095411,0.04,15.0,0.9991656966433645
3798,951095428,0.04,15.0,4.9958284832168225
3798,951095468,0.04,15.0,10.491239814755328
3798,951095508,0.04,15.0,3.996662786573458
3798,951095537,0.04,15.0,4.9958284832168225
3798,951095559,0.04,15.0,2.9974970899300937
3798,951095747,0.04,15.0,0.9991656966433645
3798,951095759,0.04,15.0,3.996662786573458
3798,951095847,0.04,15.0,0.49958284832168226
3798,951095875,0.04,15.0,6.994159876503552
3798,951095898,0.04,15.0,2.4979142416084112
3798,951095913,0.04,15.0,0.9991656966433645
3798,951095949,0.04,15.0,4.49624563489514
3798,951096020,0.04,15.0,18.984148236223927
3798,951096055,0.04,15.0,6.49457702818187
3798,951096115,0.04,15.0,0.9991656966433645
3798,951096158,0.04,15.0,19.48373108454561
3798,951096171,0.04,15.0,66.94410167510543
3798,951096210,0.04,15.0,11.989988359720375
3798,951096223,0.04,15.0,25.97830811272748
3798,951096645,0.04,15.0,9.492074118111963
3798,951096837,0.04,15.0,4.9958284832168225
3798,951096869,0.04,15.0,0.49958284832168226
3798,951096888,0.04,15.0,13.988319753007104
3798,951096903,0.04,15.0,12.489571208042056
3798,951096918,0.04,15.0,13.488736904685421
3798,951096947,0.04,15.0,7.993325573146916
3798,951097155,0.04,15.0,0.9991656966433645
3798,951097181,0.04,15.0,10.99082266307701
3798,951097314,0.04,15.0,2.9974970899300937
3798,951097326,0.04,15.0,1.998331393286729
3798,951097339,0.04,15.0,29.475388050979255
3798,951097368,0.04,15.0,16.486233994615514
3798,951097426,0.04,15.0,0.9991656966433645
3798,951097439,0.04,15.0,8.99249126979028
3798,951097452,0.04,15.0,9.991656966433645
3798,951097504,0.04,15.0,1.4987485449650468
3798,951097530,0.04,15.0,17.48539969125888
3798,951097547,0.04,15.0,75.93659294489571
3798,951097561,0.04,15.0,2.4979142416084112
3798,951097589,0.04,15.0,1.4987485449650468
3798,951097603,0.04,15.0,5.994994179860187
3798,951097682,0.04,15.0,17.98498253958056
3798,951097708,0.04,15.0,5.495411331538505
3798,951097722,0.04,15.0,0.49958284832168226
3798,951097748,0.04,15.0,4.49624563489514
3798,951097772,0.04,15.0,25.97830811272748
3798,951097857,0.04,15.0,27.477056657692525
3798,951097869,0.04,15.0,16.985816842937197
3798,951097919,0.04,15.0,13.988319753007104
3798,951097934,0.04,15.0,3.497079938251776
3798,951097947,0.04,15.0,14.987485449650467
3798,951098021,0.04,15.0,1.998331393286729
3798,951098075,0.04,15.0,1.998331393286729
3798,951098105,0.04,15.0,15.986651146293832
3798,951098195,0.04,15.0,1.4987485449650468
3798,951098229,0.04,15.0,3.497079938251776
3798,951098242,0.04,15.0,14.487902601328786
3798,951098292,0.04,15.0,0.49958284832168226
3798,951098332,0.04,15.0,0.9991656966433645
3798,951098346,0.04,15.0,2.4979142416084112
3798,951098384,0.04,15.0,4.9958284832168225
3798,951098447,0.04,15.0,6.994159876503552
3798,951098461,0.04,15.0,6.994159876503552
3798,951098487,0.04,15.0,1.998331393286729
3798,951098530,0.04,15.0,0.49958284832168226
3798,951098546,0.04,15.0,0.9991656966433645
3798,951098560,0.04,15.0,25.97830811272748
3798,951098658,0.04,15.0,0.9991656966433645
3798,951098773,0.04,15.0,46.46120489391645
3798,951098807,0.04,15.0,14.987485449650467
3798,951098850,0.04,15.0,1.4987485449650468
3798,951098871,0.04,15.0,6.994159876503552
3798,951098928,0.04,15.0,52.95578192209832
3798,951099033,0.04,15.0,22.980811022797386
3798,951099043,0.04,15.0,1.4987485449650468
3798,951099055,0.04,15.0,1.998331393286729
3798,951099068,0.04,15.0,1.998331393286729
3798,951099081,0.04,15.0,11.490405511398693
3798,951099104,0.04,15.0,10.491239814755328
3798,951099306,0.04,15.0,31.473719444265985
3798,951099491,0.04,15.0,1.4987485449650468
3798,951100116,0.04,15.0,28.47622235433589
3798,951100127,0.04,15.0,23.480393871119066
3798,951100178,0.04,15.0,4.9958284832168225
3798,951100316,0.04,15.0,25.478725264405796
3798,951100328,0.04,15.0,10.491239814755328
3798,951100360,0.04,15.0,2.4979142416084112
3798,951100393,0.04,15.0,3.497079938251776
3798,951100405,0.04,15.0,30.47455374762262
3798,951100426,0.04,15.0,11.989988359720375
3798,951100942,0.04,15.0,1.998331393286729
3798,951101045,0.04,15.0,1.4987485449650468
3798,951101058,0.04,15.0,24.979142416084112
3798,951101069,0.04,15.0,4.49624563489514
3798,951101184,0.04,15.0,6.994159876503552
3798,951101193,0.04,15.0,0.49958284832168226
3798,951101215,0.04,15.0,5.994994179860187
3798,951101246,0.04,15.0,1.998331393286729
3798,951101271,0.04,15.0,0.9991656966433645
3798,951101284,0.04,15.0,4.49624563489514
3798,951101299,0.04,15.0,2.9974970899300937
3798,951101313,0.04,15.0,19.48373108454561
3798,951101328,0.04,15.0,12.98915405636374
3798,951101343,0.04,15.0,14.487902601328786
3798,951101374,0.04,15.0,5.994994179860187
3798,951101405,0.04,15.0,17.48539969125888
3798,951101446,0.04,15.0,22.481228174475703
3798,951101472,0.04,15.0,41.96495925902131
3798,951101511,0.04,15.0,16.486233994615514
3798,951101525,0.04,15.0,12.98915405636374
3798,951101551,0.04,15.0,3.996662786573458
3798,951101577,0.04,15.0,10.491239814755328
3798,951101590,0.04,15.0,7.493742724825234
3798,951101620,0.04,15.0,18.484565387902244
3798,951101678,0.04,15.0,4.49624563489514
3798,951101752,0.04,15.0,0.9991656966433645
3798,951101771,0.04,15.0,12.489571208042056
3798,951101798,0.04,15.0,0.9991656966433645
3798,951101825,0.04,15.0,19.98331393286729
3798,951101884,0.04,15.0,11.490405511398693
3798,951101931,0.04,15.0,4.9958284832168225
3798,951101958,0.04,15.0,5.495411331538505
3798,951101971,0.04,15.0,19.98331393286729
3798,951101983,0.04,15.0,138.384448985106
3798,951102008,0.04,15.0,4.49624563489514
3798,951102034,0.04,15.0,41.465376410699626
3798,951102049,0.04,15.0,6.49457702818187
3798,951102092,0.04,15.0,8.99249126979028
3798,951102109,0.04,15.0,8.99249126979028
3798,951102121,0.04,15.0,9.991656966433645
3798,951102152,0.04,15.0,10.99082266307701
3798,951102169,0.04,15.0,3.497079938251776
3798,951102180,0.04,15.0,1.4987485449650468
3798,951102192,0.04,15.0,4.49624563489514
3798,951102207,0.04,15.0,13.488736904685421
3798,951102220,0.04,15.0,0.49958284832168226
3798,951102235,0.04,15.0,16.985816842937197
3798,951102247,0.04,15.0,22.481228174475703
3798,951102277,0.04,15.0,6.49457702818187
3798,951102290,0.04,15.0,26.977473809370842
3798,951102534,0.04,15.0,0.49958284832168226
3798,951102555,0.04,15.0,0.9991656966433645
3798,951102601,0.04,15.0,3.996662786573458
3798,951102623,0.04,15.0,4.9958284832168225
3798,951102646,0.04,15.0,13.988319753007104
3798,951102686,0.04,15.0,10.491239814755328
3798,951102834,0.04,15.0,4.9958284832168225
3798,951102846,0.04,15.0,6.994159876503552
3798,951102860,0.04,15.0,2.4979142416084112
3798,951102934,0.04,15.0,4.9958284832168225
3798,951102962,0.04,15.0,11.989988359720375
3798,951103019,0.04,15.0,0.49958284832168226
3798,951103080,0.04,15.0,5.495411331538505
3798,951103093,0.04,15.0,2.4979142416084112
3798,951103150,0.04,15.0,2.4979142416084112
3798,951103163,0.04,15.0,2.9974970899300937
3798,951103238,0.04,15.0,27.97663950601421
3798,951103262,0.04,15.0,21.98164532615402
3798,951103290,0.04,15.0,17.98498253958056
3798,951103332,0.04,15.0,69.94159876503552
3798,951103361,0.04,15.0,20.482896781188973
3798,951103380,0.04,15.0,9.991656966433645
3798,951103455,0.04,15.0,6.49457702818187
3798,951103488,0.04,15.0,2.9974970899300937
3798,951103498,0.04,15.0,19.48373108454561
3798,951103508,0.04,15.0,17.98498253958056
3798,951103518,0.04,15.0,8.99249126979028
3798,951103530,0.04,15.0,13.988319753007104
3798,951103553,0.04,15.0,14.487902601328786
3798,951103566,0.04,15.0,0.49958284832168226
3798,951103624,0.04,15.0,14.487902601328786
3798,951103632,0.04,15.0,71.93993015832224
3798,951103652,0.04,15.0,14.987485449650467
3798,951103671,0.04,15.0,9.991656966433645
3798,951103704,0.04,15.0,24.479559567762433
3798,951103768,0.04,15.0,1.998331393286729
3798,951103779,0.04,15.0,11.989988359720375
3798,951103799,0.04,15.0,1.998331393286729
3798,951103854,0.04,15.0,0.49958284832168226
3798,951103877,0.04,15.0,7.493742724825234
3798,951103889,0.04,15.0,0.49958284832168226
3798,951103918,0.04,15.0,4.9958284832168225
3798,951103934,0.04,15.0,4.49624563489514
3798,951103958,0.04,15.0,35.96996507916112
3798,951104031,0.04,15.0,6.994159876503552
3798,951104064,0.04,15.0,19.48373108454561
3798,951104075,0.04,15.0,5.495411331538505
3798,951104138,0.04,15.0,0.9991656966433645
3798,951104192,0.04,15.0,65.94493597846206
3798,951104239,0.04,15.0,0.49958284832168226
3798,951104308,0.04,15.0,0.49958284832168226
3798,951104410,0.04,15.0,4.9958284832168225
3798,951104488,0.04,15.0,2.9974970899300937
3798,951104510,0.04,15.0,7.493742724825234
3798,951104544,0.04,15.0,4.49624563489514
3798,951104719,0.04,15.0,0.9991656966433645
3798,951104746,0.04,15.0,4.49624563489514
3798,951104832,0.04,15.0,5.994994179860187
3798,951104990,0.04,15.0,8.99249126979028
3798,951105112,0.04,15.0,2.9974970899300937
3798,951105123,0.04,15.0,2.9974970899300937
3798,951105202,0.04,15.0,8.492908421468599
3798,951105218,0.04,15.0,2.9974970899300937
3798,951105604,0.04,15.0,0.49958284832168226
3798,951105844,0.04,15.0,15.48706829797215
3798,951106047,0.04,15.0,5.495411331538505
3798,951106071,0.04,15.0,13.988319753007104
3798,951106105,0.04,15.0,10.491239814755328
3798,951106126,0.04,15.0,28.47622235433589
3798,951106229,0.04,15.0,6.994159876503552
3798,951106278,0.04,15.0,5.994994179860187
3798,951106376,0.04,15.0,9.991656966433645
3798,951106458,0.04,15.0,4.9958284832168225
3798,951106476,0.04,15.0,1.998331393286729
3798,951106493,0.04,15.0,6.994159876503552
3798,951106527,0.04,15.0,27.477056657692525
3798,951106541,0.04,15.0,0.9991656966433645
3798,951106581,0.04,15.0,13.488736904685421
3798,951106592,0.04,15.0,12.98915405636374
3798,951106655,0.04,15.0,0.49958284832168226
3798,951106670,0.04,15.0,1.4987485449650468
3798,951106677,0.04,15.0,9.991656966433645
3798,951106725,0.04,15.0,83.43033566972095
3798,951106759,0.04,15.0,16.985816842937197
3798,951106810,0.04,15.0,2.9974970899300937
3798,951106830,0.04,15.0,0.9991656966433645
3798,951106851,0.04,15.0,1.4987485449650468
3798,951106869,0.04,15.0,1.998331393286729
3798,951106891,0.04,15.0,45.96162204559477
3798,951106922,0.04,15.0,7.993325573146916
3798,951106985,0.04,15.0,12.98915405636374
3798,951107110,0.04,15.0,0.49958284832168226
3798,951107136,0.04,15.0,6.994159876503552
3798,951107200,0.04,15.0,26.977473809370842
3798,951107209,0.04,15.0,0.49958284832168226
3798,951107266,0.04,15.0,43.46370780398636
3798,951107278,0.04,15.0,2.4979142416084112
3798,951107474,0.04,15.0,54.45453046706337
3798,951107540,0.04,15.0,1.998331393286729
3798,951107563,0.04,15.0,0.49958284832168226
3798,951107585,0.04,15.0,2.9974970899300937
3798,951107606,0.04,15.0,9.991656966433645
3798,951107634,0.04,15.0,0.9991656966433645
3798,951107801,0.04,15.0,1.998331393286729
3798,951107814,0.04,15.0,11.490405511398693
3798,951108120,0.04,15.0,39.4670450174129
3798,951108131,0.04,15.0,30.47455374762262
3798,951108157,0.04,15.0,32.97246798923103
3798,951108287,0.04,15.0,0.9991656966433645
3798,951108382,0.04,15.0,1.4987485449650468
3798,951108486,0.04,15.0,0.49958284832168226
3798,951108494,0.04,15.0,3.497079938251776
3798,951108531,0.04,15.0,1.998331393286729
3798,951108540,0.04,15.0,2.9974970899300937
3798,951108557,0.04,15.0,38.96746216909122
3798,951108607,0.04,15.0,3.996662786573458
3798,951108633,0.04,15.0,13.488736904685421
3798,951108641,0.04,15.0,1.4987485449650468
3798,951108685,0.04,15.0,30.47455374762262
3798,951108721,0.04,15.0,15.986651146293832
3798,951108850,0.04,15.0,2.4979142416084112
3798,951108858,0.04,15.0,0.49958284832168226
3798,951108867,0.04,15.0,10.99082266307701
3798,951108877,0.04,15.0,35.47038223083944
3798,951108901,0.04,15.0,9.492074118111963
3798,951108911,0.04,15.0,63.44702173685365
3798,951108928,0.04,15.0,1.4987485449650468
3798,951108938,0.04,15.0,2.4979142416084112
3798,951108972,0.04,15.0,5.495411331538505
3798,951108996,0.04,15.0,13.488736904685421
3798,951109006,0.04,15.0,4.49624563489514
3798,951109061,0.04,15.0,7.993325573146916
3798,951109103,0.04,15.0,13.988319753007104
3798,951109118,0.04,15.0,3.996662786573458
3798,951109137,0.04,15.0,17.98498253958056
3798,951109184,0.04,15.0,7.993325573146916
3798,951109191,0.04,15.0,7.993325573146916
3798,951109213,0.04,15.0,27.477056657692525
3798,951109223,0.04,15.0,1.4987485449650468
3798,951109242,0.04,15.0,3.996662786573458
3798,951109282,0.04,15.0,54.45453046706337
3798,951109291,0.04,15.0,0.9991656966433645
3798,951109299,0.04,15.0,16.486233994615514
3798,951109307,0.04,15.0,7.993325573146916
3798,951109319,0.04,15.0,69.44201591671384
3798,951109338,0.04,15.0,18.984148236223927
3798,951109357,0.04,15.0,1.4987485449650468
3798,951109399,0.04,15.0,5.495411331538505
3798,951109410,0.04,15.0,2.9974970899300937
3798,951109423,0.04,15.0,10.99082266307701
3798,951109435,0.04,15.0,22.481228174475703
3798,951109447,0.04,15.0,4.49624563489514
3798,951109469,0.04,15.0,3.996662786573458
3798,951109506,0.04,15.0,11.490405511398693
3798,951109518,0.04,15.0,6.49457702818187
3798,951109572,0.04,15.0,15.48706829797215
3798,951109586,0.04,15.0,0.9991656966433645
3798,951109594,0.04,15.0,81.9315871247559
3798,951109682,0.04,15.0,2.4979142416084112
3798,951109702,0.04,15.0,2.4979142416084112
3798,951109787,0.04,15.0,1.4987485449650468
3798,951110003,0.04,15.0,1.4987485449650468
3798,951110032,0.04,15.0,2.4979142416084112
