stimulus_presentation_id,area,temporal_frequency,orientation,active
3798,APN,4.0,135.0,1
3798,CA1,4.0,135.0,1
3798,CA2,4.0,135.0,1
3798,CA3,4.0,135.0,1
3798,DG,4.0,135.0,1
3798,LGd,4.0,135.0,1
3798,LP,4.0,135.0,0
3798,POL,4.0,135.0,1
3798,ProS,4.0,135.0,1
3798,SUB,4.0,135.0,1
3798,VISal,4.0,135.0,1
3798,VISam,4.0,135.0,1
3798,VISl,4.0,135.0,1
3798,VISmma,4.0,135.0,1
3798,VISp,4.0,135.0,1
3798,VISrl,4.0,135.0,1
3799,APN,15.0,135.0,1
3799,CA1,15.0,135.0,1
3799,CA2,15.0,135.0,1
3799,CA3,15.0,135.0,1
3799,DG,15.0,135.0,0
3799,LGd,15.0,135.0,1
3799,LP,15.0,135.0,0
3799,POL,15.0,135.0,1
3799,ProS,15.0,135.0,1
3799,SUB,15.0,135.0,1
3799,VISal,15.0,135.0,0
3799,VISam,15.0,135.0,1
3799,VISl,15.0,135.0,1
3799,VISmma,15.0,135.0,1
3799,VISp,15.0,135.0,1
3799,VISrl,15.0,135.0,1
3800,APN,15.0,45.0,1
3800,CA1,15.0,45.0,1
3800,CA2,15.0,45.0,1
3800,CA3,15.0,45.0,1
3800,DG,15.0,45.0,1
3800,LGd,15.0,45.0,1
3800,LP,15.0,45.0,1
3800,POL,15.0,45.0,1
3800,ProS,15.0,45.0,1
3800,SUB,15.0,45.0,1
3800,VISal,15.0,45.0,1
3800,VISam,15.0,45.0,1
3800,VISl,15.0,45.0,1
3800,VISmma,15.0,45.0,1
3800,VISp,15.0,45.0,1
3800,VISrl,15.0,45.0,1
3801,APN,1.0,0.0,1
3801,CA1,1.0,0.0,1
3801,CA2,1.0,0.0,1
3801,CA3,1.0,0.0,1
3801,DG,1.0,0.0,1
3801,LGd,1.0,0.0,1
3801,LP,1.0,0.0,0
3801,POL,1.0,0.0,1
3801,ProS,1.0,0.0,1
3801,SUB,1.0,0.0,1
3801,VISal,1.0,0.0,1
3801,VISam,1.0,0.0,1
3801,VISl,1.0,0.0,1
3801,VISmma,1.0,0.0,1
3801,VISp,1.0,0.0,1
3801,VISrl,1.0,0.0,1
3803,APN,8.0,135.0,1
3803,CA1,8.0,135.0,1
3803,CA2,8.0,135.0,1
3803,CA3,8.0,135.0,1
3803,DG,8.0,135.0,0
3803,LGd,8.0,135.0,1
3803,LP,8.0,135.0,0
3803,POL,8.0,135.0,1
3803,ProS,8.0,135.0,1
3803,SUB,8.0,135.0,1
3803,VISal,8.0,135.0,1
3803,VISam,8.0,135.0,1
3803,VISl,8.0,135.0,0
3803,VISmma,8.0,135.0,1
3803,VISp,8.0,135.0,1
3803,VISrl,8.0,135.0,1
3805,APN,15.0,0.0,1
3805,CA1,15.0,0.0,1
3805,CA2,15.0,0.0,1
3805,CA3,15.0,0.0,1
3805,DG,15.0,0.0,1
3805,LGd,15.0,0.0,1
3805,LP,15.0,0.0,0
3805,POL,15.0,0.0,1
3805,ProS,15.0,0.0,1
3805,SUB,15.0,0.0,1
3805,VISal,15.0,0.0,0
3805,VISam,15.0,0.0,1
3805,VISl,15.0,0.0,0
3805,VISmma,15.0,0.0,1
3805,VISp,15.0,0.0,0
3805,VISrl,15.0,0.0,1
3806,APN,8.0,270.0,1
3806,CA1,8.0,270.0,1
3806,CA2,8.0,270.0,1
3806,CA3,8.0,270.0,1
3806,DG,8.0,270.0,0
3806,LGd,8.0,270.0,1
3806,LP,8.0,270.0,1
3806,POL,8.0,270.0,1
3806,ProS,8.0,270.0,1
3806,SUB,8.0,270.0,0
3806,VISal,8.0,270.0,1
3806,VISam,8.0,270.0,1
3806,VISl,8.0,270.0,0
3806,VISmma,8.0,270.0,1
3806,VISp,8.0,270.0,0
3806,VISrl,8.0,270.0,1
3807,APN,15.0,90.0,1
3807,CA1,15.0,90.0,1
3807,CA2,15.0,90.0,1
3807,CA3,15.0,90.0,1
3807,DG,15.0,90.0,1
3807,LGd,15.0,90.0,1
3807,LP,15.0,90.0,1
3807,POL,15.0,90.0,1
3807,ProS,15.0,90.0,1
3807,SUB,15.0,90.0,1
